Номер,Утверждение A,Утверждение B,Константы,Тип,Примечание,Полюс_+,Полюс_−
163,В долгих проектах меня держит риск-поиск.,В долгих проектах проявляется риск-избегание.,C15,Основная,FBM 3.0: автогенерировано (10 пар на константу),Риск-поиск,Риск-избегание
164,"Считаю, что риск-поиск помогает результату.","Считаю, что риск-избегание снижает лишние риски.",C15,Основная,FBM 3.0: автогенерировано (10 пар на константу),Риск-поиск,Риск-избегание
165,Сознательно развиваю риск-поиск как навык.,"Стараюсь умерять риск-избегание, если это мешает.",C15,Основная,FBM 3.0: автогенерировано (10 пар на константу),Риск-поиск,Риск-избегание
303,"Даже когда это уместно, редко выбираю риск-поиск; чаще полагаюсь на риск-избегание.","Даже под давлением стараюсь придерживаться риск-поиск, а не риск-избегание.",C15,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Риск-поиск,Риск-избегание
166,Охотно проявляю перфекционизм в общении.,Предпочитаю дезорганизация и держусь в стороне.,C16,Основная,FBM 3.0: автогенерировано (10 пар на константу),Перфекционизм,Дезорганизация
167,"Получаю энергию, опираясь на перфекционизм.","Комфортнее, когда могу проявить дезорганизация.",C16,Основная,FBM 3.0: автогенерировано (10 пар на константу),Перфекционизм,Дезорганизация
168,В команде ценят моё перфекционизм.,В команде чаще проявляю дезорганизация.,C16,Основная,FBM 3.0: автогенерировано (10 пар на константу),Перфекционизм,Дезорганизация
169,При дедлайнах меня выручает перфекционизм.,При дедлайнах сильнее проявляется дезорганизация.,C16,Основная,FBM 3.0: автогенерировано (10 пар на константу),Перфекционизм,Дезорганизация
170,В неопределённости помогает перфекционизм.,В неопределённости у меня преобладает дезорганизация.,C16,Основная,FBM 3.0: автогенерировано (10 пар на константу),Перфекционизм,Дезорганизация
171,"Принимая решения, стараюсь демонстрировать перфекционизм.","Принимая решения, чаще опираюсь на дезорганизация.",C16,Основная,FBM 3.0: автогенерировано (10 пар на константу),Перфекционизм,Дезорганизация
172,В конфликтах удерживаю перфекционизм.,В конфликтах мною руководит дезорганизация.,C16,Основная,FBM 3.0: автогенерировано (10 пар на константу),Перфекционизм,Дезорганизация
173,В долгих проектах меня держит перфекционизм.,В долгих проектах проявляется дезорганизация.,C16,Основная,FBM 3.0: автогенерировано (10 пар на константу),Перфекционизм,Дезорганизация
174,"Считаю, что перфекционизм помогает результату.","Считаю, что дезорганизация снижает лишние риски.",C16,Основная,FBM 3.0: автогенерировано (10 пар на константу),Перфекционизм,Дезорганизация
175,Сознательно развиваю перфекционизм как навык.,"Стараюсь умерять дезорганизация, если это мешает.",C16,Основная,FBM 3.0: автогенерировано (10 пар на константу),Перфекционизм,Дезорганизация
304,"Даже когда это уместно, редко выбираю перфекционизм; чаще полагаюсь на дезорганизация.","Даже под давлением стараюсь придерживаться перфекционизм, а не дезорганизация.",C16,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Перфекционизм,Дезорганизация
176,Охотно проявляю доминирование в общении.,Предпочитаю уступчивость и держусь в стороне.,C17,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доминирование,Уступчивость
177,"Получаю энергию, опираясь на доминирование.","Комфортнее, когда могу проявить уступчивость.",C17,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доминирование,Уступчивость
178,В команде ценят моё доминирование.,В команде чаще проявляю уступчивость.,C17,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доминирование,Уступчивость
179,При дедлайнах меня выручает доминирование.,При дедлайнах сильнее проявляется уступчивость.,C17,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доминирование,Уступчивость
180,В неопределённости помогает доминирование.,В неопределённости у меня преобладает уступчивость.,C17,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доминирование,Уступчивость
181,"Принимая решения, стараюсь демонстрировать доминирование.","Принимая решения, чаще опираюсь на уступчивость.",C17,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доминирование,Уступчивость
182,В конфликтах удерживаю доминирование.,В конфликтах мною руководит уступчивость.,C17,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доминирование,Уступчивость
183,В долгих проектах меня держит доминирование.,В долгих проектах проявляется уступчивость.,C17,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доминирование,Уступчивость
184,"Считаю, что доминирование помогает результату.","Считаю, что уступчивость снижает лишние риски.",C17,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доминирование,Уступчивость
185,Сознательно развиваю доминирование как навык.,"Стараюсь умерять уступчивость, если это мешает.",C17,Основная,FBM 3.0: автогенерировано (10 пар на константу),Доминирование,Уступчивость
305,"Даже когда это уместно, редко выбираю доминирование; чаще полагаюсь на уступчивость.","Даже под давлением стараюсь придерживаться доминирование, а не уступчивость.",C17,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Доминирование,Уступчивость
186,Охотно проявляю внутренний локус контроля в общении.,Предпочитаю внешний локус контроля и держусь в стороне.,C18,Основная,FBM 3.0: автогенерировано (10 пар на константу),Внутренний локус контроля,Внешний локус контроля
187,"Получаю энергию, опираясь на внутренний локус контроля.","Комфортнее, когда могу проявить внешний локус контроля.",C18,Основная,FBM 3.0: автогенерировано (10 пар на константу),Внутренний локус контроля,Внешний локус контроля
188,В команде ценят моё внутренний локус контроля.,В команде чаще проявляю внешний локус контроля.,C18,Основная,FBM 3.0: автогенерировано (10 пар на константу),Внутренний локус контроля,Внешний локус контроля
189,При дедлайнах меня выручает внутренний локус контроля.,При дедлайнах сильнее проявляется внешний локус контроля.,C18,Основная,FBM 3.0: автогенерировано (10 пар на константу),Внутренний локус контроля,Внешний локус контроля
190,В неопределённости помогает внутренний локус контроля.,В неопределённости у меня преобладает внешний локус контроля.,C18,Основная,FBM 3.0: автогенерировано (10 пар на константу),Внутренний локус контроля,Внешний локус контроля
191,"Принимая решения, стараюсь демонстрировать внутренний локус контроля.","Принимая решения, чаще опираюсь на внешний локус контроля.",C18,Основная,FBM 3.0: автогенерировано (10 пар на константу),Внутренний локус контроля,Внешний локус контроля
192,В конфликтах удерживаю внутренний локус контроля.,В конфликтах мною руководит внешний локус контроля.,C18,Основная,FBM 3.0: автогенерировано (10 пар на константу),Внутренний локус контроля,Внешний локус контроля
193,В долгих проектах меня держит внутренний локус контроля.,В долгих проектах проявляется внешний локус контроля.,C18,Основная,FBM 3.0: автогенерировано (10 пар на константу),Внутренний локус контроля,Внешний локус контроля
194,"Считаю, что внутренний локус контроля помогает результату.","Считаю, что внешний локус контроля снижает лишние риски.",C18,Основная,FBM 3.0: автогенерировано (10 пар на константу),Внутренний локус контроля,Внешний локус контроля
195,Сознательно развиваю внутренний локус контроля как навык.,"Стараюсь умерять внешний локус контроля, если это мешает.",C18,Основная,FBM 3.0: автогенерировано (10 пар на константу),Внутренний локус контроля,Внешний локус контроля
306,"Даже когда это уместно, редко выбираю внутренний локус контроля; чаще полагаюсь на внешний локус контроля.","Даже под давлением стараюсь придерживаться внутренний локус контроля, а не внешний локус контроля.",C18,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Внутренний локус контроля,Внешний локус контроля
196,Охотно проявляю когнитивная гибкость в общении.,Предпочитаю ригидность и держусь в стороне.,C19,Основная,FBM 3.0: автогенерировано (10 пар на константу),Когнитивная гибкость,Ригидность
197,"Получаю энергию, опираясь на когнитивная гибкость.","Комфортнее, когда могу проявить ригидность.",C19,Основная,FBM 3.0: автогенерировано (10 пар на константу),Когнитивная гибкость,Ригидность
198,В команде ценят моё когнитивная гибкость.,В команде чаще проявляю ригидность.,C19,Основная,FBM 3.0: автогенерировано (10 пар на константу),Когнитивная гибкость,Ригидность
199,При дедлайнах меня выручает когнитивная гибкость.,При дедлайнах сильнее проявляется ригидность.,C19,Основная,FBM 3.0: автогенерировано (10 пар на константу),Когнитивная гибкость,Ригидность
200,В неопределённости помогает когнитивная гибкость.,В неопределённости у меня преобладает ригидность.,C19,Основная,FBM 3.0: автогенерировано (10 пар на константу),Когнитивная гибкость,Ригидность
201,"Принимая решения, стараюсь демонстрировать когнитивная гибкость.","Принимая решения, чаще опираюсь на ригидность.",C19,Основная,FBM 3.0: автогенерировано (10 пар на константу),Когнитивная гибкость,Ригидность
202,В конфликтах удерживаю когнитивная гибкость.,В конфликтах мною руководит ригидность.,C19,Основная,FBM 3.0: автогенерировано (10 пар на константу),Когнитивная гибкость,Ригидность
203,В долгих проектах меня держит когнитивная гибкость.,В долгих проектах проявляется ригидность.,C19,Основная,FBM 3.0: автогенерировано (10 пар на константу),Когнитивная гибкость,Ригидность
204,"Считаю, что когнитивная гибкость помогает результату.","Считаю, что ригидность снижает лишние риски.",C19,Основная,FBM 3.0: автогенерировано (10 пар на константу),Когнитивная гибкость,Ригидность
205,Сознательно развиваю когнитивная гибкость как навык.,"Стараюсь умерять ригидность, если это мешает.",C19,Основная,FBM 3.0: автогенерировано (10 пар на константу),Когнитивная гибкость,Ригидность
307,"Даже когда это уместно, редко выбираю когнитивная гибкость; чаще полагаюсь на ригидность.","Даже под давлением стараюсь придерживаться когнитивная гибкость, а не ригидность.",C19,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Когнитивная гибкость,Ригидность
206,Охотно проявляю толерантность к неопределённости в общении.,Предпочитаю нетерпимость и держусь в стороне.,C20,Основная,FBM 3.0: автогенерировано (10 пар на константу),Толерантность к неопределённости,Нетерпимость
207,"Получаю энергию, опираясь на толерантность к неопределённости.","Комфортнее, когда могу проявить нетерпимость.",C20,Основная,FBM 3.0: автогенерировано (10 пар на константу),Толерантность к неопределённости,Нетерпимость
208,В команде ценят моё толерантность к неопределённости.,В команде чаще проявляю нетерпимость.,C20,Основная,FBM 3.0: автогенерировано (10 пар на константу),Толерантность к неопределённости,Нетерпимость
209,При дедлайнах меня выручает толерантность к неопределённости.,При дедлайнах сильнее проявляется нетерпимость.,C20,Основная,FBM 3.0: автогенерировано (10 пар на константу),Толерантность к неопределённости,Нетерпимость
210,В неопределённости помогает толерантность к неопределённости.,В неопределённости у меня преобладает нетерпимость.,C20,Основная,FBM 3.0: автогенерировано (10 пар на константу),Толерантность к неопределённости,Нетерпимость
211,"Принимая решения, стараюсь демонстрировать толерантность к неопределённости.","Принимая решения, чаще опираюсь на нетерпимость.",C20,Основная,FBM 3.0: автогенерировано (10 пар на константу),Толерантность к неопределённости,Нетерпимость
212,В конфликтах удерживаю толерантность к неопределённости.,В конфликтах мною руководит нетерпимость.,C20,Основная,FBM 3.0: автогенерировано (10 пар на константу),Толерантность к неопределённости,Нетерпимость
213,В долгих проектах меня держит толерантность к неопределённости.,В долгих проектах проявляется нетерпимость.,C20,Основная,FBM 3.0: автогенерировано (10 пар на константу),Толерантность к неопределённости,Нетерпимость
214,"Считаю, что толерантность к неопределённости помогает результату.","Считаю, что нетерпимость снижает лишние риски.",C20,Основная,FBM 3.0: автогенерировано (10 пар на константу),Толерантность к неопределённости,Нетерпимость
215,Сознательно развиваю толерантность к неопределённости как навык.,"Стараюсь умерять нетерпимость, если это мешает.",C20,Основная,FBM 3.0: автогенерировано (10 пар на константу),Толерантность к неопределённости,Нетерпимость
308,"Даже когда это уместно, редко выбираю толерантность к неопределённости; чаще полагаюсь на нетерпимость.","Даже под давлением стараюсь придерживаться толерантность к неопределённости, а не нетерпимость.",C20,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Толерантность к неопределённости,Нетерпимость
216,Охотно проявляю долгосрочная ориентация в общении.,Предпочитаю немедленная выгода и держусь в стороне.,C21,Основная,FBM 3.0: автогенерировано (10 пар на константу),Долгосрочная ориентация,Немедленная выгода
217,"Получаю энергию, опираясь на долгосрочная ориентация.","Комфортнее, когда могу проявить немедленная выгода.",C21,Основная,FBM 3.0: автогенерировано (10 пар на константу),Долгосрочная ориентация,Немедленная выгода
218,В команде ценят моё долгосрочная ориентация.,В команде чаще проявляю немедленная выгода.,C21,Основная,FBM 3.0: автогенерировано (10 пар на константу),Долгосрочная ориентация,Немедленная выгода
219,При дедлайнах меня выручает долгосрочная ориентация.,При дедлайнах сильнее проявляется немедленная выгода.,C21,Основная,FBM 3.0: автогенерировано (10 пар на константу),Долгосрочная ориентация,Немедленная выгода
220,В неопределённости помогает долгосрочная ориентация.,В неопределённости у меня преобладает немедленная выгода.,C21,Основная,FBM 3.0: автогенерировано (10 пар на константу),Долгосрочная ориентация,Немедленная выгода
221,"Принимая решения, стараюсь демонстрировать долгосрочная ориентация.","Принимая решения, чаще опираюсь на немедленная выгода.",C21,Основная,FBM 3.0: автогенерировано (10 пар на константу),Долгосрочная ориентация,Немедленная выгода
222,В конфликтах удерживаю долгосрочная ориентация.,В конфликтах мною руководит немедленная выгода.,C21,Основная,FBM 3.0: автогенерировано (10 пар на константу),Долгосрочная ориентация,Немедленная выгода
223,В долгих проектах меня держит долгосрочная ориентация.,В долгих проектах проявляется немедленная выгода.,C21,Основная,FBM 3.0: автогенерировано (10 пар на константу),Долгосрочная ориентация,Немедленная выгода
224,"Считаю, что долгосрочная ориентация помогает результату.","Считаю, что немедленная выгода снижает лишние риски.",C21,Основная,FBM 3.0: автогенерировано (10 пар на константу),Долгосрочная ориентация,Немедленная выгода
225,Сознательно развиваю долгосрочная ориентация как навык.,"Стараюсь умерять немедленная выгода, если это мешает.",C21,Основная,FBM 3.0: автогенерировано (10 пар на константу),Долгосрочная ориентация,Немедленная выгода
309,"Даже когда это уместно, редко выбираю долгосрочная ориентация; чаще полагаюсь на немедленная выгода.","Даже под давлением стараюсь придерживаться долгосрочная ориентация, а не немедленная выгода.",C21,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Долгосрочная ориентация,Немедленная выгода
226,Охотно проявляю самосострадание в общении.,Предпочитаю самоосуждение и держусь в стороне.,C22,Основная,FBM 3.0: автогенерировано (10 пар на константу),Самосострадание,Самоосуждение
227,"Получаю энергию, опираясь на самосострадание.","Комфортнее, когда могу проявить самоосуждение.",C22,Основная,FBM 3.0: автогенерировано (10 пар на константу),Самосострадание,Самоосуждение
228,В команде ценят моё самосострадание.,В команде чаще проявляю самоосуждение.,C22,Основная,FBM 3.0: автогенерировано (10 пар на константу),Самосострадание,Самоосуждение
229,При дедлайнах меня выручает самосострадание.,При дедлайнах сильнее проявляется самоосуждение.,C22,Основная,FBM 3.0: автогенерировано (10 пар на константу),Самосострадание,Самоосуждение
230,В неопределённости помогает самосострадание.,В неопределённости у меня преобладает самоосуждение.,C22,Основная,FBM 3.0: автогенерировано (10 пар на константу),Самосострадание,Самоосуждение
231,"Принимая решения, стараюсь демонстрировать самосострадание.","Принимая решения, чаще опираюсь на самоосуждение.",C22,Основная,FBM 3.0: автогенерировано (10 пар на константу),Самосострадание,Самоосуждение
232,В конфликтах удерживаю самосострадание.,В конфликтах мною руководит самоосуждение.,C22,Основная,FBM 3.0: автогенерировано (10 пар на константу),Самосострадание,Самоосуждение
233,В долгих проектах меня держит самосострадание.,В долгих проектах проявляется самоосуждение.,C22,Основная,FBM 3.0: автогенерировано (10 пар на константу),Самосострадание,Самоосуждение
234,"Считаю, что самосострадание помогает результату.","Считаю, что самоосуждение снижает лишние риски.",C22,Основная,FBM 3.0: автогенерировано (10 пар на константу),Самосострадание,Самоосуждение
235,Сознательно развиваю самосострадание как навык.,"Стараюсь умерять самоосуждение, если это мешает.",C22,Основная,FBM 3.0: автогенерировано (10 пар на константу),Самосострадание,Самоосуждение
310,"Даже когда это уместно, редко выбираю самосострадание; чаще полагаюсь на самоосуждение.","Даже под давлением стараюсь придерживаться самосострадание, а не самоосуждение.",C22,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Самосострадание,Самоосуждение
236,Охотно проявляю честность в поведении в общении.,Предпочитаю манипулятивность и держусь в стороне.,C23,Основная,FBM 3.0: автогенерировано (10 пар на константу),Честность в поведении,Манипулятивность
237,"Получаю энергию, опираясь на честность в поведении.","Комфортнее, когда могу проявить манипулятивность.",C23,Основная,FBM 3.0: автогенерировано (10 пар на константу),Честность в поведении,Манипулятивность
238,В команде ценят моё честность в поведении.,В команде чаще проявляю манипулятивность.,C23,Основная,FBM 3.0: автогенерировано (10 пар на константу),Честность в поведении,Манипулятивность
239,При дедлайнах меня выручает честность в поведении.,При дедлайнах сильнее проявляется манипулятивность.,C23,Основная,FBM 3.0: автогенерировано (10 пар на константу),Честность в поведении,Манипулятивность
240,В неопределённости помогает честность в поведении.,В неопределённости у меня преобладает манипулятивность.,C23,Основная,FBM 3.0: автогенерировано (10 пар на константу),Честность в поведении,Манипулятивность
241,"Принимая решения, стараюсь демонстрировать честность в поведении.","Принимая решения, чаще опираюсь на манипулятивность.",C23,Основная,FBM 3.0: автогенерировано (10 пар на константу),Честность в поведении,Манипулятивность
242,В конфликтах удерживаю честность в поведении.,В конфликтах мною руководит манипулятивность.,C23,Основная,FBM 3.0: автогенерировано (10 пар на константу),Честность в поведении,Манипулятивность
243,В долгих проектах меня держит честность в поведении.,В долгих проектах проявляется манипулятивность.,C23,Основная,FBM 3.0: автогенерировано (10 пар на константу),Честность в поведении,Манипулятивность
244,"Считаю, что честность в поведении помогает результату.","Считаю, что манипулятивность снижает лишние риски.",C23,Основная,FBM 3.0: автогенерировано (10 пар на константу),Честность в поведении,Манипулятивность
245,Сознательно развиваю честность в поведении как навык.,"Стараюсь умерять манипулятивность, если это мешает.",C23,Основная,FBM 3.0: автогенерировано (10 пар на константу),Честность в поведении,Манипулятивность
311,"Даже когда это уместно, редко выбираю честность в поведении; чаще полагаюсь на манипулятивность.","Даже под давлением стараюсь придерживаться честность в поведении, а не манипулятивность.",C23,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Честность в поведении,Манипулятивность
246,Охотно проявляю социальная смелость в общении.,Предпочитаю социальная тревожность и держусь в стороне.,C24,Основная,FBM 3.0: автогенерировано (10 пар на константу),Социальная смелость,Социальная тревожность
247,"Получаю энергию, опираясь на социальная смелость.","Комфортнее, когда могу проявить социальная тревожность.",C24,Основная,FBM 3.0: автогенерировано (10 пар на константу),Социальная смелость,Социальная тревожность
248,В команде ценят моё социальная смелость.,В команде чаще проявляю социальная тревожность.,C24,Основная,FBM 3.0: автогенерировано (10 пар на константу),Социальная смелость,Социальная тревожность
249,При дедлайнах меня выручает социальная смелость.,При дедлайнах сильнее проявляется социальная тревожность.,C24,Основная,FBM 3.0: автогенерировано (10 пар на константу),Социальная смелость,Социальная тревожность
250,В неопределённости помогает социальная смелость.,В неопределённости у меня преобладает социальная тревожность.,C24,Основная,FBM 3.0: автогенерировано (10 пар на константу),Социальная смелость,Социальная тревожность
251,"Принимая решения, стараюсь демонстрировать социальная смелость.","Принимая решения, чаще опираюсь на социальная тревожность.",C24,Основная,FBM 3.0: автогенерировано (10 пар на константу),Социальная смелость,Социальная тревожность
252,В конфликтах удерживаю социальная смелость.,В конфликтах мною руководит социальная тревожность.,C24,Основная,FBM 3.0: автогенерировано (10 пар на константу),Социальная смелость,Социальная тревожность
253,В долгих проектах меня держит социальная смелость.,В долгих проектах проявляется социальная тревожность.,C24,Основная,FBM 3.0: автогенерировано (10 пар на константу),Социальная смелость,Социальная тревожность
254,"Считаю, что социальная смелость помогает результату.","Считаю, что социальная тревожность снижает лишние риски.",C24,Основная,FBM 3.0: автогенерировано (10 пар на константу),Социальная смелость,Социальная тревожность
255,Сознательно развиваю социальная смелость как навык.,"Стараюсь умерять социальная тревожность, если это мешает.",C24,Основная,FBM 3.0: автогенерировано (10 пар на константу),Социальная смелость,Социальная тревожность
312,"Даже когда это уместно, редко выбираю социальная смелость; чаще полагаюсь на социальная тревожность.","Даже под давлением стараюсь придерживаться социальная смелость, а не социальная тревожность.",C24,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Социальная смелость,Социальная тревожность
256,Охотно проявляю ценностная открытость в общении.,Предпочитаю догматизм и держусь в стороне.,C25,Основная,FBM 3.0: автогенерировано (10 пар на константу),Ценностная открытость,Догматизм
257,"Получаю энергию, опираясь на ценностная открытость.","Комфортнее, когда могу проявить догматизм.",C25,Основная,FBM 3.0: автогенерировано (10 пар на константу),Ценностная открытость,Догматизм
258,В команде ценят моё ценностная открытость.,В команде чаще проявляю догматизм.,C25,Основная,FBM 3.0: автогенерировано (10 пар на константу),Ценностная открытость,Догматизм
259,При дедлайнах меня выручает ценностная открытость.,При дедлайнах сильнее проявляется догматизм.,C25,Основная,FBM 3.0: автогенерировано (10 пар на константу),Ценностная открытость,Догматизм
260,В неопределённости помогает ценностная открытость.,В неопределённости у меня преобладает догматизм.,C25,Основная,FBM 3.0: автогенерировано (10 пар на константу),Ценностная открытость,Догматизм
261,"Принимая решения, стараюсь демонстрировать ценностная открытость.","Принимая решения, чаще опираюсь на догматизм.",C25,Основная,FBM 3.0: автогенерировано (10 пар на константу),Ценностная открытость,Догматизм
262,В конфликтах удерживаю ценностная открытость.,В конфликтах мною руководит догматизм.,C25,Основная,FBM 3.0: автогенерировано (10 пар на константу),Ценностная открытость,Догматизм
263,В долгих проектах меня держит ценностная открытость.,В долгих проектах проявляется догматизм.,C25,Основная,FBM 3.0: автогенерировано (10 пар на константу),Ценностная открытость,Догматизм
264,"Считаю, что ценностная открытость помогает результату.","Считаю, что догматизм снижает лишние риски.",C25,Основная,FBM 3.0: автогенерировано (10 пар на константу),Ценностная открытость,Догматизм
265,Сознательно развиваю ценностная открытость как навык.,"Стараюсь умерять догматизм, если это мешает.",C25,Основная,FBM 3.0: автогенерировано (10 пар на константу),Ценностная открытость,Догматизм
313,"Даже когда это уместно, редко выбираю ценностная открытость; чаще полагаюсь на догматизм.","Даже под давлением стараюсь придерживаться ценностная открытость, а не догматизм.",C25,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Ценностная открытость,Догматизм
266,Охотно проявляю креативность в общении.,Предпочитаю репродуктивность и держусь в стороне.,C26,Основная,FBM 3.0: автогенерировано (10 пар на константу),Креативность,Репродуктивность
267,"Получаю энергию, опираясь на креативность.","Комфортнее, когда могу проявить репродуктивность.",C26,Основная,FBM 3.0: автогенерировано (10 пар на константу),Креативность,Репродуктивность
268,В команде ценят моё креативность.,В команде чаще проявляю репродуктивность.,C26,Основная,FBM 3.0: автогенерировано (10 пар на константу),Креативность,Репродуктивность
269,При дедлайнах меня выручает креативность.,При дедлайнах сильнее проявляется репродуктивность.,C26,Основная,FBM 3.0: автогенерировано (10 пар на константу),Креативность,Репродуктивность
270,В неопределённости помогает креативность.,В неопределённости у меня преобладает репродуктивность.,C26,Основная,FBM 3.0: автогенерировано (10 пар на константу),Креативность,Репродуктивность
271,"Принимая решения, стараюсь демонстрировать креативность.","Принимая решения, чаще опираюсь на репродуктивность.",C26,Основная,FBM 3.0: автогенерировано (10 пар на константу),Креативность,Репродуктивность
272,В конфликтах удерживаю креативность.,В конфликтах мною руководит репродуктивность.,C26,Основная,FBM 3.0: автогенерировано (10 пар на константу),Креативность,Репродуктивность
273,В долгих проектах меня держит креативность.,В долгих проектах проявляется репродуктивность.,C26,Основная,FBM 3.0: автогенерировано (10 пар на константу),Креативность,Репродуктивность
274,"Считаю, что креативность помогает результату.","Считаю, что репродуктивность снижает лишние риски.",C26,Основная,FBM 3.0: автогенерировано (10 пар на константу),Креативность,Репродуктивность
275,Сознательно развиваю креативность как навык.,"Стараюсь умерять репродуктивность, если это мешает.",C26,Основная,FBM 3.0: автогенерировано (10 пар на константу),Креативность,Репродуктивность
314,"Даже когда это уместно, редко выбираю креативность; чаще полагаюсь на репродуктивность.","Даже под давлением стараюсь придерживаться креативность, а не репродуктивность.",C26,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Креативность,Репродуктивность
276,Охотно проявляю грит (настойчивость) в общении.,Предпочитаю сдача позиции и держусь в стороне.,C27,Основная,FBM 3.0: автогенерировано (10 пар на константу),Грит (настойчивость),Сдача позиции
277,"Получаю энергию, опираясь на грит (настойчивость).","Комфортнее, когда могу проявить сдача позиции.",C27,Основная,FBM 3.0: автогенерировано (10 пар на константу),Грит (настойчивость),Сдача позиции
278,В команде ценят моё грит (настойчивость).,В команде чаще проявляю сдача позиции.,C27,Основная,FBM 3.0: автогенерировано (10 пар на константу),Грит (настойчивость),Сдача позиции
279,При дедлайнах меня выручает грит (настойчивость).,При дедлайнах сильнее проявляется сдача позиции.,C27,Основная,FBM 3.0: автогенерировано (10 пар на константу),Грит (настойчивость),Сдача позиции
280,В неопределённости помогает грит (настойчивость).,В неопределённости у меня преобладает сдача позиции.,C27,Основная,FBM 3.0: автогенерировано (10 пар на константу),Грит (настойчивость),Сдача позиции
281,"Принимая решения, стараюсь демонстрировать грит (настойчивость).","Принимая решения, чаще опираюсь на сдача позиции.",C27,Основная,FBM 3.0: автогенерировано (10 пар на константу),Грит (настойчивость),Сдача позиции
282,В конфликтах удерживаю грит (настойчивость).,В конфликтах мною руководит сдача позиции.,C27,Основная,FBM 3.0: автогенерировано (10 пар на константу),Грит (настойчивость),Сдача позиции
283,В долгих проектах меня держит грит (настойчивость).,В долгих проектах проявляется сдача позиции.,C27,Основная,FBM 3.0: автогенерировано (10 пар на константу),Грит (настойчивость),Сдача позиции
284,"Считаю, что грит (настойчивость) помогает результату.","Считаю, что сдача позиции снижает лишние риски.",C27,Основная,FBM 3.0: автогенерировано (10 пар на константу),Грит (настойчивость),Сдача позиции
285,Сознательно развиваю грит (настойчивость) как навык.,"Стараюсь умерять сдача позиции, если это мешает.",C27,Основная,FBM 3.0: автогенерировано (10 пар на константу),Грит (настойчивость),Сдача позиции
315,"Даже когда это уместно, редко выбираю грит (настойчивость); чаще полагаюсь на сдача позиции.","Даже под давлением стараюсь придерживаться грит (настойчивость), а не сдача позиции.",C27,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Грит (настойчивость),Сдача позиции
286,Охотно проявляю саморегуляция аффекта в общении.,Предпочитаю аффективная лабильность и держусь в стороне.,C28,Основная,FBM 3.0: автогенерировано (10 пар на константу),Саморегуляция аффекта,Аффективная лабильность
287,"Получаю энергию, опираясь на саморегуляция аффекта.","Комфортнее, когда могу проявить аффективная лабильность.",C28,Основная,FBM 3.0: автогенерировано (10 пар на константу),Саморегуляция аффекта,Аффективная лабильность
288,В команде ценят моё саморегуляция аффекта.,В команде чаще проявляю аффективная лабильность.,C28,Основная,FBM 3.0: автогенерировано (10 пар на константу),Саморегуляция аффекта,Аффективная лабильность
289,При дедлайнах меня выручает саморегуляция аффекта.,При дедлайнах сильнее проявляется аффективная лабильность.,C28,Основная,FBM 3.0: автогенерировано (10 пар на константу),Саморегуляция аффекта,Аффективная лабильность
290,В неопределённости помогает саморегуляция аффекта.,В неопределённости у меня преобладает аффективная лабильность.,C28,Основная,FBM 3.0: автогенерировано (10 пар на константу),Саморегуляция аффекта,Аффективная лабильность
291,"Принимая решения, стараюсь демонстрировать саморегуляция аффекта.","Принимая решения, чаще опираюсь на аффективная лабильность.",C28,Основная,FBM 3.0: автогенерировано (10 пар на константу),Саморегуляция аффекта,Аффективная лабильность
292,В конфликтах удерживаю саморегуляция аффекта.,В конфликтах мною руководит аффективная лабильность.,C28,Основная,FBM 3.0: автогенерировано (10 пар на константу),Саморегуляция аффекта,Аффективная лабильность
293,В долгих проектах меня держит саморегуляция аффекта.,В долгих проектах проявляется аффективная лабильность.,C28,Основная,FBM 3.0: автогенерировано (10 пар на константу),Саморегуляция аффекта,Аффективная лабильность
294,"Считаю, что саморегуляция аффекта помогает результату.","Считаю, что аффективная лабильность снижает лишние риски.",C28,Основная,FBM 3.0: автогенерировано (10 пар на константу),Саморегуляция аффекта,Аффективная лабильность
